timestamp,policy,n_tasks,concurrency,seed,elapsed_sec,tasks_per_sec,sla_rate,sla_count,lat_mean,lat_median,lat_p95,lat_p99,lat_std,cost_total,cost_avg,infer_avg_ms,edge_1_pct,edge_1_count,edge_1_sla,edge_1_avg_lat,edge_2_pct,edge_2_count,edge_2_sla,edge_2_avg_lat,cloud_pct,cloud_count,cloud_sla,cloud_avg_lat,rejected_pct,rejected_count
2026-05-03T11:04:08.478658+00:00,random,100,20,100,153.93,0.65,52.0,52,24732.6,19304.0,55330.9,79811.6,16681.9,169.5037,1.69504,0.023,27.0,27,48.1,21880.6,33.0,33,24.2,36976.9,40.0,40,77.5,16556.1,0.0,0
2026-05-03T11:06:35.385320+00:00,round_robin,100,20,100,146.53,0.68,50.0,50,21108.0,18545.5,39463.6,67154.1,12948.7,151.0484,1.51048,0.1,34.0,34,38.2,24522.3,33.0,33,60.6,16439.0,33.0,33,51.5,22259.3,0.0,0
2026-05-03T11:08:47.914461+00:00,least_connection,100,20,100,132.21,0.76,51.0,51,21707.4,17631.5,37518.3,126156.1,17959.1,147.1629,1.47163,0.033,36.0,36,61.1,19109.6,35.0,35,54.3,16128.2,29.0,29,34.5,31665.8,0.0,0
2026-05-03T11:11:30.389949+00:00,edge_only,100,20,100,162.16,0.62,48.0,48,26958.8,19753.5,70687.9,140270.8,25561.5,65.9106,0.65911,0.084,53.0,53,47.2,31991.5,47.0,47,48.9,21283.6,0.0,0,,,0.0,0
2026-05-03T11:16:03.425551+00:00,cloud_only,100,20,100,272.67,0.37,51.0,51,24722.8,18407.5,86593.2,105172.3,24382.0,329.553,3.29553,0.002,0.0,0,,,0.0,0,,,100.0,100,51.0,24722.8,0.0,0
2026-05-03T11:22:41.200272+00:00,dqn,100,20,100,286.28,0.35,53.0,53,25529.8,17248.5,96013.8,152990.0,29138.9,283.0088,2.83009,2.048,9.0,9,88.9,9887.7,13.0,13,69.2,19138.0,78.0,78,46.2,28400.0,0.0,0
2026-05-03T11:28:30.413029+00:00,dqn_uncal,100,20,100,188.43,0.53,50.0,50,26042.9,15641.5,94438.9,150393.6,31128.5,111.9312,1.11931,1.713,9.0,9,100.0,7593.7,63.0,63,28.6,36479.0,23.0,23,100.0,10337.9,5.0,5
