policy,avg_reward,std_reward,ci95_reward,avg_latency,med_latency,p95_latency,p99_latency,sla_rate,avg_cost,edge_usage,cloud_usage
DQN,-53.11,3.6198,0.7095,10423.6081,9753.3832,17632.7294,21443.7024,85.965,2.6667,39.945,60.02
Random,-94.597,5.5202,1.082,15560.703,11559.3718,40433.347,52153.0872,53.165,1.6564,67.26,32.74
RoundRobin,-93.9237,5.1972,1.0186,15505.2068,11463.067,40453.4861,52203.7767,53.55,1.6755,66.67,33.33
LeastConnection,-69.1178,4.068,0.7973,10129.4137,8413.1477,19468.0512,38418.0685,79.585,3.3867,13.81,86.19
EdgeOnly,-116.4391,5.9248,1.1613,19123.798,15379.4908,44524.0292,54921.7106,36.39,0.6011,100.0,0.0
CloudOnly,-69.8394,4.3998,0.8624,9036.4386,8108.2595,16101.9029,18601.629,84.95,3.8323,0.0,100.0
Threshold(cpu<70%),-67.253,3.9428,0.7728,9573.5666,8237.3365,17480.6492,31432.6292,82.35,3.608,6.825,93.175
