policy,avg_reward,std_reward,ci95_reward,avg_latency,med_latency,p95_latency,p99_latency,sla_rate,avg_cost,edge_usage,cloud_usage
DQN,-134.4115,32.8549,6.4396,220.4527,171.8915,427.9476,473.9333,68.35,1.683,48.395,51.605
PPO,-111.1384,26.3215,5.159,189.6737,147.3294,388.1307,448.0275,69.49,1.9627,33.05,66.95
Random,-318.8102,35.6879,6.9948,301.2492,315.0222,537.595,658.4163,45.335,1.3847,67.26,32.74
RoundRobin,-314.7596,37.2019,7.2916,298.8516,314.2016,536.182,651.8513,45.785,1.3968,66.67,33.33
LeastConnection,-306.1742,47.3276,9.2762,296.0926,219.0712,623.061,691.2664,48.52,2.7003,12.215,87.785
EdgeOnly,-333.8069,28.0542,5.4986,307.6131,326.0652,446.7305,468.5969,42.52,0.5994,100.0,0.0
CloudOnly,-345.5899,50.5267,9.9032,317.7412,287.2069,635.277,698.4408,44.475,2.9968,0.0,100.0
Threshold(cpu<70%),-311.5791,46.9542,9.203,299.4252,220.3408,627.857,694.1965,47.98,2.723,11.455,88.545
