policy,avg_reward,std_reward,ci95_reward,avg_latency,med_latency,p95_latency,p99_latency,sla_rate,avg_cost,edge_usage,cloud_usage
DQN,-115.0503,8.4573,1.6576,16983.3692,13304.484,42765.4528,53902.1995,40.655,1.1849,74.615,22.845
Random,-96.2476,5.5213,1.0822,15560.703,11559.3718,40433.347,52153.0872,53.165,1.6564,67.26,32.74
RoundRobin,-95.6036,5.2108,1.0213,15505.2068,11463.067,40453.4861,52203.7767,53.55,1.6755,66.67,33.33
LeastConnection,-71.6386,4.0782,0.7993,10129.4137,8413.1477,19468.0512,38418.0685,79.585,3.3867,13.81,86.19
EdgeOnly,-116.6319,5.9247,1.1612,19123.798,15379.4908,44524.0292,54921.7106,36.39,0.6011,100.0,0.0
CloudOnly,-72.4675,4.429,0.8681,9036.4386,8108.2595,16101.9029,18601.629,84.95,3.8323,0.0,100.0
Threshold(cpu<70%),-69.9039,3.9652,0.7772,9573.5666,8237.3365,17480.6492,31432.6292,82.35,3.608,6.825,93.175
