policy,avg_reward,std_reward,ci95_reward,avg_latency,med_latency,p95_latency,p99_latency,sla_rate,avg_cost,edge_usage,cloud_usage
DQN,-217.9141,8.1562,1.5986,403.2603,405.4314,691.581,734.9988,25.91,1.952,50.01,49.965
Random,-199.3855,8.177,1.6027,369.8046,370.5097,641.9148,719.0852,32.46,1.3869,67.26,32.74
RoundRobin,-197.6653,7.876,1.5437,367.3808,368.3392,643.8208,715.5202,33.02,1.4019,66.67,33.33
LeastConnection,-225.4257,8.3677,1.6401,432.2296,450.3541,713.8202,740.6778,26.16,2.6739,13.81,86.19
EdgeOnly,-198.3824,6.6522,1.3038,348.3338,357.2847,459.4466,473.8508,34.005,0.6011,100.0,0.0
CloudOnly,-249.6396,7.4199,1.4543,467.1377,493.5855,719.7439,742.5836,20.37,3.0055,0.0,100.0
Threshold(cpu<70%),-231.0774,8.3503,1.6367,444.9939,473.7237,717.2256,741.9533,24.48,2.8389,6.825,93.175
