#{"t_start": 1775392320.3366115, "env_id": "None"}
r,l,t
-108.249258,200,309.097324
-110.079552,200,309.441583
-137.687675,200,309.81653
-82.715695,200,311.945222
-81.963047,200,312.285158
-138.622445,200,314.276377
-126.454108,200,314.613453
-109.672994,200,314.981159
-93.284025,200,316.951193
-137.792471,200,317.319555
-125.049478,200,322.569832
-134.451462,200,322.926367
-120.815829,200,323.287797
-115.503305,200,325.662843
-89.31256,200,326.044273
-97.800281,200,326.410812
-112.622781,200,328.158027
-162.953257,200,328.506031
-145.49058,200,330.336452
-114.46767,200,330.715515--86.773951,200,331.078267
-104.544407,200,332.858037--137.546086,200,336.419082-9-98.076661,200,338.410002-1-120.591011,200,338.764795-1-187.293269,200,339.10789-92-175.005964,200,340.9665-76.-89.160387,200,341.3272-73.-164.168046,200,343.10-112.1-78.77204,200,343.4394-136-128.768876,200,343.7905-93.-92.87847,200,345.71769-88-149.495329,200,346.0840-106-124.657389,200,348.2939-112-75.408422,200,348.64151-83-188.579298,200,352.273-75.-150.950672,200,354.148-73.-134.366583,200,354.491-91.1-116.567689,200,354.8-104.23-127.397624,200,356.6-103.71-103.889895,200,356.9-137.29-78.145467,200,359.03-117.0-77.967907,200,359.390-90.9-79.729652,200,359.7-145.08-100.301719,200,362.0-113.26-96.666711,200,362.38-98.67-157.215881,200,364.3-80.175-72.169185,200,368.0-106.97-119.868094,200,368.-103.089-94.232135,200,370.1-112.38-101.774567,200,370.5-130.29-132.443805,200,372.6-134.42-95.108512,200,372.9-141.95-63.416695,200,373.28-124.1-110.922223,200,375.26-77.76-157.186272,200,375.6-73.287-96.654769,200,377.5-99.754-87.697784,200,377.9-117.92-144.188371,200,378.2-160.90-94.461697,200,380.22-142.7-115.431312,200,383.84-89.15-85.418044,200,384.20-74.54-61.216495,200,386.48-70.69-70.158758,200,386.83-93.64-115.890625,200,388.7-107.94-86.782363,200,389.-131.237-83.94999,200,389.-90.3501-87.387549,200,391.-95.6248-117.023918,200,391-115.8747-106.547109,200,39-79.2918-122.701927,200,394-106.5648-126.462069,200,394-158.5692-109.084967,200,399-127.9705-140.851274,200,400-98.0578-118.755886,200,401-95.62976-64.537377,200,4-105.498949-101.975139,200,4-150.662997-103.040648,200,4-92.658101,-152.29282,200,4-77.987047-121.661622,200,4-116.54117-101.952001,200,40-136.65849-127.798682,200,40-115.40177-79.661715,200,409-111.9739-118.586761,200,40-128.16151-112.178819,200,41-132.90429-127.841879,200,41-135.66721-95.466406,200,415-84.67710-115.762114,200,-106.176897,-72.771722,200,4-65.968449-95.649385,200,41-107.27548-111.78981,200,420-145.0511-95.999916,200,421.-161.550-117.676315,200,423.-125.998-115.335926,200,423.-131.824-100.584696,200,424.-88.0011-164.536534,200,426-113.151-106.715755,200,426.-123.61-148.999399,200,432.2-125.79-118.21706,200,432.67-146.3-117.231981,200,433.01-111.-121.225061,200,434.9-62.146-77.085934,200,435.2-157.12-121.35183,200,435.66-132.9-130.896108,200,437.69-112.1-102.206469,200,438.0-113.47-130.946384,200,440.0-73.758-68.294531,200,440.4-130.13-81.248291,200,440.77-106.1-115.76718,200,442.57-135.0-118.669829,200,442.-53.1966-112.26978,200,448-123.8440-55.233874,200,448.-108.272-63.558187,200,449.1-112.44-95.366853,200,450.97-93.1-64.83459,200,451.3296-159-78.127598,200,453.20687-12-85.473135,200,453.69771-79-66.116303,200,454.05029-15-151.648821,200,455.91401-13-151.770896,200,456.33186-82-156.224329,200,458.6106-123-100.566698,200,458.9894-130-128.804176,200,462.6413-82.-125.989205,200,464.641-92.4-88.388933,200,464.972-155.-105.823869,200,465.33-85.41-122.198075,200,467.3-126.6-80.881327,200,467.736-75.0-145.754467,200,470.02-133.8-162.846145,200,470.3-136.83-147.250138,200,470.7-128.20-128.272966,200,472.8-132.56-111.939715,200,473.1-55.531-94.550889,200,475.0-96.601-58.751061,200,475.3-114.36-143.557967,200,479.00468
77,200,479.005799
