episode,train_reward,steps,loss,epsilon,eval_avg_reward,eval_avg_latency,eval_sla_rate,eval_avg_cost,mean_q,edge_pct,cloud_pct,reject_pct,elapsed_sec
2550,-60.9367,200,0.167682,0.05,-55.5057,10317.16,85.47,2.63922,-27.2375,40.02,59.91,0.07,3181.7
2600,-56.0993,200,0.185359,0.05,-56.6743,10628.2,84.71,2.52629,-27.1882,44.39,55.55,0.06,3244.7
2650,-61.17,200,0.176469,0.05,-56.1,10627.97,85.0,2.517079,-27.0698,44.3,55.66,0.03,3308.1
2700,-63.8511,200,0.176143,0.05,-56.0251,10789.75,85.04,2.48212,-27.2041,46.09,53.73,0.18,3371.8
2750,-68.998,200,0.166808,0.05,-57.0794,10775.88,83.95,2.44896,-27.1889,47.32,52.65,0.03,3435.6
2800,-66.6785,200,0.186143,0.05,-57.1925,10145.96,84.98,2.785485,-27.0999,35.52,64.39,0.09,3500.0
2850,-59.1413,200,0.194305,0.05,-56.1534,10640.34,85.06,2.542853,-27.1261,44.45,55.51,0.04,3563.6
2900,-58.4333,200,0.1978,0.05,-57.8975,10498.45,84.36,2.653199,-27.1729,40.54,59.39,0.06,3626.0
2950,-55.8551,200,0.198669,0.05,-55.5037,10223.31,85.59,2.718807,-27.1669,38.26,61.62,0.11,3687.9
3000,-58.6137,200,0.159154,0.05,-55.9557,10491.45,85.08,2.571102,-27.1716,43.38,56.53,0.09,3749.7
